District,Seat,Constituency_title,Candidate_Name,Party
Rawalpindi,Rawalpindi-V,NA-61,Ibrar Ahmed,Pakistan Muslim League (N)
Rawalpindi,Rawalpindi-V,NA-61,Ijaz Hussain,All Pakistan Muslim League
Rawalpindi,Rawalpindi-V,NA-61,Aizaz Asif,Independent 
Rawalpindi,Rawalpindi-V,NA-61,Hina Manzoor,Front National (Pakistan)
Rawalpindi,Rawalpindi-V,NA-61,Raja Jahandad,Independent 
Rawalpindi,Rawalpindi-V,NA-61,Raja Khawar Bashir,Independent 
Rawalpindi,Rawalpindi-V,NA-61,Raziq Mehmood Bhatti,Pakistan Sarzameen Party
Rawalpindi,Rawalpindi-V,NA-61,Ziad Khaliq Kiyani,Independent 
Rawalpindi,Rawalpindi-V,NA-61,Syed Shahid Pervaiz,Tehreek Labbaik Pakistan
Rawalpindi,Rawalpindi-V,NA-61,Shabbir Hussain,Independent 
Rawalpindi,Rawalpindi-V,NA-61,Shaukat Rasheed Butt,Independent 
Rawalpindi,Rawalpindi-V,NA-61,Aamer Mehmood Kiyani,Pakistan Tehreek-E-Insaf
Rawalpindi,Rawalpindi-V,NA-61,Farid Hussain Kaif,Independent 
Rawalpindi,Rawalpindi-V,NA-61,Fahim Raza,Allah o Akbar Tehreek
Rawalpindi,Rawalpindi-V,NA-61,Muhammad Shabir Awan,Independent 
Rawalpindi,Rawalpindi-V,NA-61,Muhammad Gulzar,pakistan peoples party parliamentarians
Rawalpindi,Rawalpindi-V,NA-61,Muhammad Nabi,Awami national party
Rawalpindi,Rawalpindi-V,NA-61,Mian Zafar Yaseen,MUTTHIDA MAJLIS-E-AMAL pakistan
Rawalpindi,Rawalpindi-V,NA-61,Nasir Mehmood,Pakistan Awami League
Rawalpindi,Rawalpindi-VI,NA-62,Asghar Ali Mubarak,Pakistan Awami League
Rawalpindi,Rawalpindi-VI,NA-62,Ch. Qadeer Ahmed,Tehreek-E-Labbaik Pakistan
Rawalpindi,Rawalpindi-VI,NA-62,Danyal Chaudhery,Pakistan Muslim League (N)
Rawalpindi,Rawalpindi-VI,NA-62,Sumaira Gul,pakistan peoples party parliamentarians
Rawalpindi,Rawalpindi-VI,NA-62,Shahzada Imran,Independent 
Rawalpindi,Rawalpindi-VI,NA-62,Sheikh Rashid Ahmed,Awami Muslim League Pakistan
Rawalpindi,Rawalpindi-VI,NA-62,Tariq Munir,MUTTHIDA MAJLIS-E-AMAL pakistan
Rawalpindi,Rawalpindi-VI,NA-62,Ghulam Mustafa,Barabri Party Pakistan
Rawalpindi,Rawalpindi-VI,NA-62,Muhammad Asif Khan,Independent 
Rawalpindi,Rawalpindi-VI,NA-62,Muhammad Farooq,Pakistan Welfare Party
Rawalpindi,Rawalpindi-VI,NA-62,Makhdoom M Niaz Inqlabi,Independent 
Rawalpindi,Rawalpindi-VI,NA-62,Yasir Mehmood,Independent 
Rawalpindi,Rawalpindi-VII,NA-63,Chaudry Nisar Ali Khan,Independent 
Rawalpindi,Rawalpindi-VII,NA-63,Syed Ishrat Ali Zaida,pakistan peoples party parliamentarians
Rawalpindi,Rawalpindi-VII,NA-63,Tahir Mehmood,Independent 
Rawalpindi,Rawalpindi-VII,NA-63,Ghulanm Sarwar Khan,Pakistan Tehreek-E-Insaf
Rawalpindi,Rawalpindi-VII,NA-63,Muhammad Ejaz Ahmed,Tejrik-E-Labaik Pakistan
Rawalpindi,Rawalpindi-VII,NA-63,Muhammad Sarwar,Independent 
Rawalpindi,Rawalpindi-VII,NA-63,Muhammad Waqas Khan,MUTTHIDA MAJLIS-E-AMAL pakistan
Rawalpindi,Rawalpindi-VII,NA-63,Mumtaz Khan,Pakistan Muslim League (N)
Chakwal,Chakwal-I,NA-64,Aaj Muhammad,Pashtoonkhwa Mili Awami Party
Chakwal,Chakwal-I,NA-64,Jabbar Ahmed ,pakistan peoples party parliamentarians
Chakwal,Chakwal-I,NA-64,Zulfiqar Ali Khan,Pakistan Tehreek-E-Insaf
Chakwal,Chakwal-I,NA-64,Sardar Aftab Akbar Khan,Independent 
Chakwal,Chakwal-I,NA-64,Sardar Ghulam Abbas,Independent 
Chakwal,Chakwal-I,NA-64,Syed Tassaduq Manzoor,Tehreek-E-Labbaik Pakistan
Chakwal,Chakwal-I,NA-64,Syed Imran Hussain Bukhari,MUTTHIDA MAJLIS-E-AMAL pakistan
Chakwal,Chakwal-I,NA-64,Tahir Iqbal,Pakistan Muslim League (N)
Chakwal,Chakwal-I,NA-64,Abdul Nisar,Allah o Akbar Tehreek
Chakwal,Chakwal-I,NA-64,Imran Qaiser Abbas,Pakistan Tehreek-E-Insaf Nazriati
Chakwal,Chakwal-I,NA-64,Muhammad Tufail,Pakistan Tehreek-E-Insaniat
Chakwal,Chakwal-I,NA-64,Naeem Asghar Malik,Independent 
Chakwal,Chakwal-II,NA-65,Parvez Elahi,Pakistan Muslim League
Chakwal,Chakwal-II,NA-65,adar Mansoor Hayat Tamman,Independent
Chakwal,Chakwal-II,NA-65,Muhammad Jahangir Malik,Independent
Chakwal,Chakwal-II,NA-65,Muhammad Hameed Ullah,Mutthida Majlis-E-Amal Pakistan
Chakwal,Chakwal-II,NA-65,Muhammad Aamir,Pakistan Justice & Democratic Party
Chakwal,Chakwal-II,NA-65,Muhammad Faez Malik,Pakistan Muslim League (N)
Chakwal,Chakwal-II,NA-65,Muhammad Yaqoob,Tehreek-E-Labbaik Pakistan
Chakwal,Chakwal-II,NA-65,Mulazim Hussain,Independent
Chakwal,Chakwal-II,NA-65,Hashim Khan,Pakistan Peoples Party Parliamentarians
Jhelum,Jhelum-I,NA-66,Chaudhary Tasneem Nasir,Paksitan Peoples Party Parliamentarians
Jhelum,Jhelum-I,NA-66,Chaudhary Farrukh Altaf,Pakistan Tehreek-E-Insaf
Jhelum,Jhelum-I,NA-66,Chaudhary Muhammad Saqlain,Independent
Jhelum,Jhelum-I,NA-66,Khalid Tanveer,Tehreek Labbaik Pakistan
Jhelum,Jhelum-I,NA-66,Syed Ali Abbas,Barabri Party Pakistan
Jhelum,Jhelum-I,NA-66,Shamim Akhtar,Independent
Jhelum,Jhelum-I,NA-66,Faisal Fareed,Independent
Jhelum,Jhelum-I,NA-66,Mehboob Ali Mujahid,Mutthida Majlis-E-Amal Pakistan
Jhelum,Jhelum-II,NA-67,Abrar Hussain,Independent
Jhelum,Jhelum-II,NA-67,Saqib Hamid,Independent
Jhelum,Jhelum-II,NA-67,Ch. Muhammad Saqlain,Independent
Jhelum,Jhelum-II,NA-67,Diwan Hashmat Hayat,Independent
Jhelum,Jhelum-II,NA-67,Raja Matloob Mehdi,Pakistan Muslim League (N)
Jhelum,Jhelum-II,NA-67,Syed Fakhar Haider,Pakistan Justice & Democratic Party
Jhelum,Jhelum-II,NA-67,Syed Nauman Shah,Tehreek Labbaik Pakistan
Jhelum,Jhelum-II,NA-67,Shahid Kamal Mirza,All Pakistan Muslim League
Jhelum,Jhelum-II,NA-67,Adeel Ahmed,Allah-O-Akbar Tehreek
Jhelum,Jhelum-II,NA-67,Fawad Ahmed,Pakistan Tehreek-E-Insaf
Jhelum,Jhelum-II,NA-67,Faisal Fareed,Independent
Jhelum,Jhelum-II,NA-67,Muhammad Zia-Ul-Haq,Mutthida Majlis-E-Amal Pakistan
Gujrat,Gujrat-I,NA-68,Azhar Iqbal Choudary,Pakistan Peoples Party Parliamentarians
Gujrat,Gujrat-I,NA-68,Hussain Elahi,Pakistan Muslim League
Gujrat,Gujrat-I,NA-68,Khurram Shahzad,Pakistan Awami Raj
Gujrat,Gujrat-I,NA-68,Rizwan Hussain,Independent
Gujrat,Gujrat-I,NA-68,Zubair Ahmad,Mutthida Majlis-E-Amal Pakistan
Gujrat,Gujrat-I,NA-68,Mubashar Ul Hassan,Independent
Gujrat,Gujrat-I,NA-68,Mubashar Majeed Butt,Independent
Gujrat,Gujrat-I,NA-68,Muhammad Asghar,Independent
Gujrat,Gujrat-I,NA-68,Muhammad Mahmood Qadri,Tehreek Labbaik Pakistan
Gujrat,Gujrat-I,NA-68,Munawar Iqbal Bhumla,Independent
Gujrat,Gujrat-I,NA-68,Nawabzada Ghazanfar Ali Gul,Pakistan Muslim League (N)
Gujrat,Gujrat-II,NA-69,Ahmed Faran Khan,Independent
Gujrat,Gujrat-II,NA-69,Iftikhar Ahmed Warraich,All Pakistan Muslim League
Gujrat,Gujrat-II,NA-69,Parvez Elahi,Pakistan Muslim League
Gujrat,Gujrat-II,NA-69,Thekadar Haji Khalid Mehmood,Pakistan Quami Yakjehti Party
Gujrat,Gujrat-II,NA-69,Ch. Zahoor Elahi,Independent
Gujrat,Gujrat-II,NA-69,Ch. Mubasher Hussain,Pakistan Muslim League (N)
Gujrat,Gujrat-II,NA-69,Raja Salamat Ali,Tehreek Labbaik Pakistan
Gujrat,Gujrat-II,NA-69,Zahid Khan ,Independent
Gujrat,Gujrat-II,NA-68,Syed Shoukat Kamal,Pakistan Peoples Party (Shaheed Bhutto)
Gujrat,Gujrat-II,NA-69,Shaikh Mansoor Khurshid,Independent
Gujrat,Gujrat-II,NA-69,Muhammad Azam,Independent
Gujrat,Gujrat-II,NA-69,Muhammad Latif Malik,Independent
Gujrat,Gujrat-II,NA-69,Wazir-Un-Nisa,Pakistan Peoples Party Parliamentarians
Gujrat,Gujrat-III,NA-70,Jaffar Iqbal,Pakistan Muslim League (N)
Gujrat,Gujrat-III,NA-70,Syed Faiz Ul Hassan,Pakistan Tehreek-E-Insaf
Gujrat,Gujrat-III,NA-70,Syed Mubashar Hussain Shah,Tehreek-E-Labbaik Pakistan
Gujrat,Gujrat-III,NA-70,Tahir Zaman,Independent
Gujrat,Gujrat-III,NA-70,Adnan Asim,Tehreek Labbaik Pakistan
Gujrat,Gujrat-III,NA-70,Qamar Zaman Kaira,Pakistan Peoples Party Parliamentarians
Gujrat,Gujrat-III,NA-70,Muhammad Usman Aslam,Independent
Gujrat,Gujrat-III,NA-70,Mian Intazar Hussain,Independent
Gujrat,Gujrat-III,NA-70,Mian Muhammad Akram,Independent
Gujrat,Gujrat-IV,NA-71,Asif Raza,Independent
Gujrat,Gujrat-IV,NA-71,Chaudhry Abid Raza,Pakistan Muslim League (N)
Gujrat,Gujrat-IV,NA-71,Ch. Muhammad Zahid Farooq,Pakistan Quami Yakjehti Party
Gujrat,Gujrat-IV,NA-71,Syed Zia Ulla,Independent
Gujrat,Gujrat-IV,NA-71,Syed Mubashar Hussain Shah,Tehreek-E-Labbaik Islam
Gujrat,Gujrat-IV,NA-71,Shabbir Ahmad,Independent
Gujrat,Gujrat-IV,NA-71,Shahbaz Khan,Independent
Gujrat,Gujrat-IV,NA-71,Ali Asghar,Independent
Gujrat,Gujrat-IV,NA-71,Fahad Ilyas Choudhry,Independent
Gujrat,Gujrat-IV,NA-71,Muhammad Ilyas Choudhry,Pakistan Tehreek-E-Insaf
Gujrat,Gujrat-IV,NA-71,Muhammad Hanif Malik,Independent
Gujrat,Gujrat-IV,NA-71,Nadeem Ashiq,Pakistan Peoples Party Parliamentarians
Gujrat,Gujrat-IV,NA-71,Naeem Ahmed,Tehreek Labbaik Pakistan
Gujrat,Gujrat-IV,NA-71,Naeem Raza,Independent
Sialkot,Sialkot-I,NA-72,Parveen Akhtar,Mutthida Majlis-E-Amal Pakistan
Sialkot,Sialkot-I,NA-72,Chaudhry Armghan Subhani ,Pakistan Muslim League (N)
Sialkot,Sialkot-I,NA-72,Khurram Ijaz,Independent
Sialkot,Sialkot-I,NA-72,Syed Ishtiaq Ul Hassan Gilani,Pakistan Peoples Party Parliamentarians
Sialkot,Sialkot-I,NA-72,Syed Abbas Ali Shah,Tehreek Labbaik Pakistan
Sialkot,Sialkot-I,NA-72,Tariq Subhani,Independent
Sialkot,Sialkot-I,NA-72,Firdous Ashiq,Pakistan Tehreek-E-Insaf
Sialkot,Sialkot-I,NA-72,Mian Abid Javed,Independent
Sialkot,Sialkot-I,NA-72,Mian Naeem Javed,Independent
Sialkot,Sialkot-I,NA-72,Nasar Ullah,Allah-O-Akbar Tehreek
Sialkot,Sialkot-II,NA-73,Jahangir Rashid,Pakistan Sunni Tehreek
Sialkot,Sialkot-II,NA-73,Chaudhry Mohammad Sarwar,Mutthida Qaumi Movement Pakistan
Sialkot,Sialkot-II,NA-73,Khawaja Muhammad Asif,Paksitan Muslim League (N)
Sialkot,Sialkot-II,NA-73,Rana Muhammad Naeem Javid,Tehreek Labbaik Pakistan
Sialkot,Sialkot-II,NA-73,Zarra Mahmood Malik,Pakistan Peoples Party Parliamentarians
Sialkot,Sialkot-II,NA-73,Arif Mahmood ,Independent
Sialkot,Sialkot-II,NA-73,Imran Ashraf,Independent
Sialkot,Sialkot-II,NA-73,Muhammad Asif,Independent
Sialkot,Sialkot-II,NA-73,Muhammad Usman Dar,Pakistan Tehreek-E-Insaf
Sialkot,Sialkot-II,NA-73,Muhammad Imran Dar,Independent
Sialkot,Sialkot-III,NA-74,Chaudhry Muhmmad Akbar,Independent
Sialkot,Sialkot-III,NA-74,Shujhad Ali,Tehreek Labbaik Pakistan
Sialkot,Sialkot-III,NA-74,Ali Zahid,Pakistan Muslim League(N)
Sialkot,Sialkot-III,NA-74,Ghulam Abbas,Pakistan Tehreek-E-Insaf
Sialkot,Sialkot-III,NA-74,Liaquat Ali,Independent
Sialkot,Sialkot-III,NA-74,Muhsin Akram,Muttahida Majlis-e-Amal Pakistan
Sialkot,Sialkot-III,NA-74,Muhammad Asif Bajwa,Independent
Sialkot,Sialkot-III,NA-74,Muhammad Iqbal,Independent
Sialkot,Sialkot-III,NA-74,Mansoor Sarwar Khan,Independent
Sialkot,Sialkot-III,NA-74,Munawar Ahmed Gul,Independent
Sialkot,Sialkot-III,NA-74,Nargis Faiz Malik,Pakistan Peoples Party Parlimentarians
Sialkot,Sialkot-IV,NA-75,Arslan Zafar,Tehreek Labbaik Pakistan
Sialkot,Sialkot-IV,NA-75,Chaudhry Mumtaz Ali,Independent
Sialkot,Sialkot-IV,NA-75,Rauf Ahmed Bajwa,Independent
Sialkot,Sialkot-IV,NA-75,Syed Iftikhar-Ul-Hassan,Pakistan Muslim League (N)
Sialkot,Sialkot-IV,NA-75,Zaheer Ul Hassan Rizvi,Pakistan Peoples Party Parliamentarians
Sialkot,Sialkot-IV,NA-75,Abdul Waheed Meo,Independent
Sialkot,Sialkot-IV,NA-75,Abdul Rauf,Independent
Sialkot,Sialkot-IV,NA-75,Usman Abid,Independent
Sialkot,Sialkot-IV,NA-75,Ali Asjad Malhi,Pakistan Tehreek-E-Insaf
Sialkot,Sialkot-IV,NA-75,Kashan Haider,Mutthida Majlis-E-Amal Pakistan
Sialkot,Sialkot-IV,NA-75,Muhammad Atiq Rafiq,Independent
Sialkot,Sialkot-V,NA-76,Ch. Khaleeq Ur Rehman,Allah-O-Akbar Tehreek
Sialkot,Sialkot-V,NA-76,Ch. Muhammad Amin,Tehreek Labbaik Pakistan
Sialkot,Sialkot-V,NA-76,Rana Shamim Ahmed Khan,Pakistan Muslim League (N)
Sialkot,Sialkot-V,NA-76,Qasim Ali,Independent
Sialkot,Sialkot-V,NA-76,Muhammad Aslam ,Pakistan Tehreek-E-Insaf
Sialkot,Sialkot-V,NA-76,Muhammad Awais,Mutthida Majlis-E-Amal Pakistan
Sialkot,Sialkot-V,NA-76,Mudashar Saleem Saleem Baryar,Independent
Sialkot,Sialkot-V,NA-76,Yasir Mushtaq Bajwa,Pakistan Peoples Party Parliamentarians
Narowal,Narowal-I,NA-77,Muhammad Akmal Sadiq,Independent
Narowal,Narowal-I,NA-77,Daniyal Aziz,Independent
Narowal,Narowal-I,NA-77,Syed Sirshar Abbas,Independent
Narowal,Narowal-I,NA-77,Shamim Akhtar,Independent
Narowal,Narowal-I,NA-77,Amir Siddique Malik,Pakistan Tehreek-E-Insaf Nazriati
Narowal,Narowal-I,NA-77,Ghulam Ali Shakar Toor,Independent
Narowal,Narowal-I,NA-77,Muhammad Ashfaq Taj,Tehreek Labbaik Pakistan
Narowal,Narowal-I,NA-77,Muhammad Tariq Anees,Independent
Narowal,Narowal-I,NA-77,Muhammad Azeem Choudry,Independent
Narowal,Narowal-I,NA-77,Muhammad Nawaz,Pakistan Peoples Party Parliamentarians
Narowal,Narowal-I,NA-77,Mehnaz Akbar Aziz,Pakistan Muslim League (N)
Narowal,Narowal-I,NA-77,Mian Muhammad Rasheed,Pakistan Tehreek-E-Insaf
Narowal,Narowal-II,NA-78,Abrar Ul Haq,Pakistan Tehreek-E-Insaf
Narowal,Narowal-II,NA-78,Ahsan Iqbal Chaudhary,Pakistan Muslim League (N)
Narowal,Narowal-II,NA-78,Anwar Ul Haq Butt,Independent
Narowal,Narowal-II,NA-78,Badar Ahsan Chaudhary,Independent
Narowal,Narowal-II,NA-78,Javaid Safdar Kahlon,Independent
Narowal,Narowal-II,NA-78,Jalaluddin,Independent
Narowal,Narowal-II,NA-78,Hafiz Muhammad Akmal Sadiq,Independent
Narowal,Narowal-II,NA-78,Khizer Ilyas Virk,Independent
Narowal,Narowal-II,NA-78,Rashid Mahmood Khan,Tehreek Labbaik Pakistan
Narowal,Narowal-II,NA-78,Shujait Ahmed Khan,Independent
Narowal,Narowal-II,NA-78,Faiza Rafique,National Party
Narowal,Narowal-II,NA-78,Mureed Hussain,Independent
Gujranwala,Gujranawala-I,NA-79,Asjad Hussain,Independent
Gujranwala,Gujranawala-I,NA-79,Babar Maqbool Qazi,Independent
Gujranwala,Gujranawala-I,NA-79,Johar Sarwar Cheema,Independent
Gujranwala,Gujranawala-I,NA-79,Ch. Ijaz Ahmed Cheena,Pakistan Peoples Party Parliamentarians
Gujranwala,Gujranawala-I,NA-79,Ch. Adil Buksh Chattha,Independent
Gujranwala,Gujranawala-I,NA-79,Muhammad Ahmed Chattha,Pakistan Tehreek-E-Insaf
Gujranwala,Gujranawala-I,NA-79,Muhammad Arshad,Independent
Gujranwala,Gujranawala-I,NA-79,Muhammad Akram,Allah-O-Akbar Tehreek
Gujranwala,Gujranawala-I,NA-79,Muhammad Amin,Independent
Gujranwala,Gujranawala-I,NA-79,Muhammad Umer Usman,Independent
Gujranwala,Gujranawala-I,NA-79,Muhammad Fayyaz,Tehreek Labbaik Pakistan
Gujranwala,Gujranawala-I,NA-79,Miraj Din,Independent
Gujranwala,Gujranawala-I,NA-79,Malik Abdul Rehman Sadiq,Independent
Gujranwala,Gujranawala-I,NA-79,Nisar Ahmed Cheema,Pakistan Muslim League (N)
Gujranwala,Gujranawala-II,NA-80,Imtiaz Safdar Warraich,Independent
Gujranwala,Gujranawala-II,NA-80,Ch. Mehmood Bashir Virk,Pakistan Muslim League (N)
Gujranwala,Gujranawala-II,NA-80,Zabeeh Ullah Balaggan,Allah-O-Akbar Tehreek
Gujranwala,Gujranawala-II,NA-80,Rana Naeem Ur Rehman Khan,Independent
Gujranwala,Gujranawala-II,NA-80,Rao Ikram Ali Khan,Pakistan Peoples Party Parliamentarians
Gujranwala,Gujranawala-II,NA-80,Zain Ali Bhatti,Independent
Gujranwala,Gujranawala-II,NA-80,Sultan Ahmed Warriach,Independent
Gujranwala,Gujranawala-II,NA-80,Tariq Mehmood,Pakistan Tehreek-E-Insaf
Gujranwala,Gujranawala-II,NA-80,Amir Yaqoob Waraich,Independent
Gujranwala,Gujranawala-II,NA-80,Uzair Ahmed,Independent
Gujranwala,Gujranawala-II,NA-80,Qazi Wasif Nadeem,Independent
Gujranwala,Gujranawala-II,NA-80,Muhammad Ahmed,Tehreek-E-Labbaik Pakistan
Gujranwala,Gujranawala-II,NA-80,Muhammad Arshad,Independent
Gujranwala,Gujranawala-II,NA-80,Muhammad Aslam ,Independent
Gujranwala,Gujranawala-II,NA-80,Muhammad Ubaid Ullah,Mutthida Majlis-E-Amal Pakistan
Gujranwala,Gujranawala-II,NA-80,Muhammad Nasir Cheema,Independent
Gujranwala,Gujranawala-III,NA-81,Ch. Muhammad Siddique,Pakistan Tehreek-E-Insaf
Gujranwala,Gujranawala-III,NA-81,Hameed Ud Din Awaz,Mutthida Majlis-E-Amal Pakistan
Gujranwala,Gujranawala-III,NA-81,Khurram Dastgir Khan,Pakistan Muslim League (N)
Gujranwala,Gujranawala-III,NA-81,Shahid Hameed,Allah-O-Akbar Tehreek
Gujranwala,Gujranawala-III,NA-81,Atif Farid Sabir Khan,Independent
Gujranwala,Gujranawala-III,NA-81,Usman Saeed,Independent
Gujranwala,Gujranawala-III,NA-81,Kashif Sabir Khan,Independent
Gujranwala,Gujranawala-III,NA-81,Muhammad Ishaq,Tehreek Labbaik Pakistan
Gujranwala,Gujranawala-III,NA-81,Muhammad Anas Amjad,Pakistan Peoples Party Parliamentarians
Gujranwala,Gujranawala-III,NA-81,Muammad Rafiq,Independent
Gujranwala,Gujranawala-III,NA-81,Muhammad Naseem Sadiq,Aam Log Party Pakistan
Gujranwala,Gujranawala-III,NA-81,Nasir Afzal,Independent
Gujranwala,Gujranawala-III,NA-81,Naveed Anwar Bhinder,Independent
Gujranwala,Gujranawala-IV,NA-82,Ahsan Yousaf,Independent
Gujranwala,Gujranawala-IV,NA-82,Ishaq Akbar,Pakistan Peoples Party Parliamentarians
Gujranwala,Gujranawala-IV,NA-82,Aman Ullah Butt,Allah o Akbar Tehreek
Gujranwala,Gujranawala-IV,NA-82,Ch. Muhammad Younas Ali,Independent
Gujranwala,Gujranawala-IV,NA-82,Shahid Usman,Independent
Gujranwala,Gujranawala-IV,NA-82,Shoukat Ali,Independent
Gujranwala,Gujranawala-IV,NA-82,Shahbaz Khan,Tehreek-E-Labbaik Pakistan
Gujranwala,Gujranawala-IV,NA-82,Abdul Karim,Aam Awam Party
Gujranwala,Gujranawala-IV,NA-82,Usman Ibrahim S/O Muhammad Ibrahim (Late),Pakistan Muslim League (N)
Gujranwala,Gujranawala-IV,NA-82,Usman Ibrahim S/O Maqsood Ahmad,Independent
Gujranwala,Gujranawala-IV,NA-82,Usman Ashraf,Independent
Gujranwala,Gujranawala-IV,NA-82,Usman Saif,Tehreek Tabdili Nizam Pakistan
Gujranwala,Gujranawala-IV,NA-82,Ali Ashraf ,Pakistan Tehreek-E-Insaf
Gujranwala,Gujranawala-IV,NA-82,Faisal Adnan Sandhu,Independent
Gujranwala,Gujranawala-IV,NA-82,Muhammad Ashraf Asif,Tehreek-E-Labbaik Islam
Gujranwala,Gujranawala-IV,NA-82,Muhammad Imran ,Independent
Gujranwala,Gujranawala-IV,NA-82,Muhammad Farooq,Independent
Gujranwala,Gujranawala-IV,NA-82,Muhammad Furqan Aziz Butt,Mutthida Majlis-E-Amal Pakistan
Gujranwala,Gujranawala-IV,NA-82,Nafisa Tahira,Aam Log Party Pakistan
Gujranwala,Gujranawala-V,NA-83,Ch. Zaka Ullah Baryar,Independent
Gujranwala,Gujranawala-V,NA-83,Ch. Ali Wakeel Khan,Independent
Gujranwala,Gujranawala-V,NA-83,Zulfiqar Ahmad,Pakistan Muslim League (N)
Gujranwala,Gujranawala-V,NA-83,Rana Umar Nazir Khan,Independent
Gujranwala,Gujranawala-V,NA-83,Rana Nazir Amhad Khan,Pakistam Tehreek-E-Insaf
Gujranwala,Gujranawala-V,NA-83,Saeed Yousaf Bhinder,Independent
Gujranwala,Gujranawala-V,NA-83,Shahbaz Ahmad,Independent
Gujranwala,Gujranawala-V,NA-83,Qamar Hussain,Pakistan Tehreek-E-Insaf Gulalai
Gujranwala,Gujranawala-V,NA-83,Muhammad Nasir Mehmood,Tehreek Labbaik Pakistan
Gujranwala,Gujranawala-V,NA-83,Mian Asif Ali,Pakistan Peoples Party Parliamentarians
Gujranwala,Gujranawala-VI,NA-84,Azhar Qayyum Nahra,Pakistan Muslim League (N)
Gujranwala,Gujranawala-VI,NA-84,Aytzaz Ijaz,Independent
Gujranwala,Gujranawala-VI,NA-84,Ch. Bilal Ejaz,Pakistan Tehreek-E-Insaf
Gujranwala,Gujranawala-VI,NA-84,Zulfiqar Ali Khan,Pakistan Peoples Party Parliamentarians
Gujranwala,Gujranawala-VI,NA-84,Rab Nawaz Cheema,Independent
Gujranwala,Gujranawala-VI,NA-84,Abid Sohail Virk,Allah-O-Akbar Tehreek
Gujranwala,Gujranawala-VI,NA-84,Amir Ali Hussain Khan,Independent
Gujranwala,Gujranawala-VI,NA-84,Qasim Ali,Independent
Gujranwala,Gujranawala-VI,NA-84,Muhammad Ishaq Khan,Independent
Gujranwala,Gujranawala-VI,NA-84,Muhammad Islam,Independent
Gujranwala,Gujranawala-VI,NA-84,Muhammad Asghar,Independent
Gujranwala,Gujranawala-VI,NA-84,Muhammad Muhibb Uddeen,Tehreek Labbaik Pakistan
Mandi Bahauddin,Mandi Bahaudin-I,NA-85,Asif Bashir,Pakistan Peoples Party Parliamentarians
Mandi Bahauddin,Mandi Bahaudin-I,NA-85,Akhtar Nawaz Faisal,Independent
Mandi Bahauddin,Mandi Bahaudin-I,NA-85,Ejaz Ahmed,Aam Log Party Pakistan
Mandi Bahauddin,Mandi Bahaudin-I,NA-85,Ch. Akhtar Abbas Bosal,Independent
Mandi Bahauddin,Mandi Bahaudin-I,NA-85,Haji Imtiaz Ahmed Choudhary,Pakistan Tehreek-E-Insaf
Mandi Bahauddin,Mandi Bahaudin-I,NA-85,Sher Muhammad Gondal,Mustaqbil Pakistan
Mandi Bahauddin,Mandi Bahaudin-I,NA-85,Muhammad Akbar,Tehreek-E-Labbaik Islam
Mandi Bahauddin,Mandi Bahaudin-I,NA-85,Muhammad Haq Nawaz,Tehreek Labbaik Pakistan
Mandi Bahauddin,Mandi Bahaudin-I,NA-85,Muhammad Riaz Farooq Sahi ,Mutthida Majlis-E-Amal Pakistan
Mandi Bahauddin,Mandi Bahaudin-I,NA-85,Mushahid Raza,Pakistan Muslim League (N)
Mandi Bahauddin,Mandi Bahaudin-I,NA-85,Najas Bibi,Independent
Mandi Bahauddin,Mandi Bahaudin-I,NA-85,Naeem Bashir,Independent
Mandi Bahauddin,Mandi Bahaudin-I,NA-85,Yasir Saddiq,Allah-O-Akbar Tehreek
Mandi Bahauddin,Mandi Bahaudin-II,NA-86,Chaudhry Akhtar Abbas Bosal,Independent
Mandi Bahauddin,Mandi Bahaudin-II,NA-86,Chaudhry Manzoor Hussain Dudhra,Independent
Mandi Bahauddin,Mandi Bahaudin-II,NA-86,Zulfiqar Ali Gondal,Independent
Mandi Bahauddin,Mandi Bahaudin-II,NA-86,Fakhar Umar Hayat,Pakistan Peoples Party Parliamentarians
Mandi Bahauddin,Mandi Bahaudin-II,NA-86,Muhammad Anwar,National Party
Mandi Bahauddin,Mandi Bahaudin-II,NA-86,Muhammad Irfan,Allah-O-Akbar Tehreek
Mandi Bahauddin,Mandi Bahaudin-II,NA-86,Nasir Iqbal Bosal,Pakistan Muslim League (N)
Mandi Bahauddin,Mandi Bahaudin-II,NA-86,Nazar Muhammad Gondal,Pakistan Tehreek-E-Insaf
Hafizabad,Hafizabad-I,NA-87,Afrasiab Mohal,Independent
Hafizabad,Hafizabad-I,NA-87,Allah Rakhi,Pakistan Peoples Party Parliamentarians
Hafizabad,Hafizabad-I,NA-87,Barbar Maqbool Qazi,Independent
Hafizabad,Hafizabad-I,NA-87,Ch. Shoukat Ali Bhatti,Pakistan Tehreek-E-Insaf
Hafizabad,Hafizabad-I,NA-87,Saira Tarar,Pakistan Muslim League (N)
Hafizabad,Hafizabad-I,NA-87,Sadia Liaqat Abbas,Independent
Hafizabad,Hafizabad-I,NA-87,Fehmida Kousar,Mutthida Majlis-E-Amal Pakistan
Hafizabad,Hafizabad-I,NA-87,Qamar Abbas,Independent
Hafizabad,Hafizabad-I,NA-87,Liaqat Abbas,Tehreek Labbaik Pakistan
Hafizabad,Hafizabad-I,NA-87,Mubashar Abbas,Independent
Hafizabad,Hafizabad-I,NA-87,Muhammad Rafique,Independent
